,sentiment,summary,title,Company Name
0,Neutral, Advertiser Essentials $16 charged every 4 weeks. subscription entitles you to access 30 locked articles on the Advertiser website. unused articles in your allocation will not carry over to the next subscription period. subscription does not provide access to the +Rewards program.,Adelaidenow.com.au | Subscribe to The Advertiser for exclusive stories,Icarus SA
1,Neutral," the non-stop service between Atlanta and Tulum will begin on march 28, 2024. it is also part of a series of routes that will be launched through a Joint Cooperation Agreement with Aeromexico. by the end of 2024, Delta expects to see an offering of more than 90 daily flights through this arrangement.",Delta To Offer Non-Stop Atlanta to Tulum Route in March 2024,Icarus SA
2,Neutral," the post was shared just a few hours ago. it has accumulated close to 3,800 likes and several comments from people. the spacecraft will be placed in halo orbit. it will take about four months to reach the Lagrange point 1 (L1) of the Sun-Earth system, which is about 1.5 million km from the Earth.",Anand Mahindra reimagines tale of Icarus after Aditya L1 launch,Icarus SA
3,Neutral," the third edition of Toast- Wine & Beer Festival is back after its previous successful editions in Delhi, Mumbai, Bangalore & Pune. you get to shop from over 400+ renowned brands from fashion to electronics, beauty products to home essentials. you get to taste delicious food, engage in fun activities and live music shows. you get to witness Indian hip-hop scene with 25 artists from across the country under one roof including Raftaar, Gully",Mumbai: From Wine & Beer Festival To Kim Woojin's Concert; 5 Things To Do This Weekend,Icarus SA
4,Neutral, art connoisseurs from across the globe will touch down in the city of lights this week for the second edition of the fair Paris+. the fair has also taken advantage of the city’s legendary environs to stage public exhibitions and events. a show titled “La Cinquième Saison” (the fifth season) will take place at the iconic Jardin des Tuileries in the heart of the city. curated by Annabelle Té,Paris+ and the Louvre Take Over the Tuileries Garden for the Compelling Sculpture Show 'The Fifth Season',Icarus SA
5,Neutral, Icarus bar and restaurant has officially launched on Peel Street. the bar features a unique blend of flavours through its dishes and cocktails. the menu features dishes cooked over charcoal offering a distinct smoky flavour. it will feature Eastern European and Mediterranean-inspired cuisine. the menu will be updated to reflect the local and organic suppliers. the restaurant will be open from january to october. it will be open from,FIRST LOOK: Icarus Bar and Restaurant launches in popular CBD laneway,Icarus SA
6,Neutral," Icarus, a tapas bar and restaurant, will bring a unique blend of flavours through both dishes and cocktails. co-owner Sam, with a deep-rooted passion for food and hospitality, intends to create a haven of gastronomic delights that spotlight local and organic suppliers from south australia. the venue will cater to various appetites, providing a predominantly food-centric experience during the day and at dinner.",Peel Street's new gem Icarus Bar and Restaurant to serve up charcoal-kissed delights,Icarus SA
7,Neutral," Stranger Things: Flight of Icarus is set in 1984, two years before the events of season 4. the story follows Eddie as he meets a record producer named Paige. he meets Paige, who gives him a chance to achieve his musical dreams. he meets Paige, who has built a wickedly cool life for herself working for a record producer.",'Stranger Things' Eddie Munson book will be season 4 prequel — See the cover,Icarus SA
8,Positive," Bibiani goldstars announce extension of kit partnership with american kit manufacturer, Icarus Football. the partnership began two seasons ago when the club earned promotion to the Ghana premier league. the fast-growing kit manufacturing firm has been the club's trusted supplier since then. fans will have the opportunity to purchase new kits starting from august 22, 2023.",Bibiani Goldstars extend partnership with Icarus Football,Icarus SA
9,Negative," vice media and BuzzFeed are now worth a fraction of their one-time highs. both digital media companies were set up to fail. vice burned through all the money investors splashed on it and still had so much outstanding debt - $834m - that rising interest rates made its future unsustainable. both were fed by the idea that audience reach was all, and that digital advertising would be enough to pay for all the content being broadcast. vice",Vice and BuzzFeed were meant to be the future of news. What happened? | Jane Martinson,Icarus SA
10,Neutral,. - (EN)..............................................,IANS.IN-Indo-Asian News Service,Morimatsu (Jiangsu) Heavy Industry
11,Neutral," sundyne, a global leader in the design and manufacture of mission critical flow control equipment, announces acquisition. funds advised by warburg pincus, a leading private equity firm focused on growth investing, have agreed to acquire the company. terms of the transaction were not disclosed.",Sundyne announces sale from BC Partners and The Carlyle Group to Warburg Pincus,Sundyne International SA
12,Positive," the global purified terephthalic acid (PTA) market size is estimated to increase by USD 45.16 billion from 2022 to 2027. the market's growth momentum will progress at a CAGR of 8.46% during the forecast period. a few prominent vendors that offer purified terephthalic acid in the market are Alfa Chemistry, Alpek SAB de CV, Arkema Group, BP Plc.","Purified Terephthalic Acid (PTA) Market size to grow by USD 45.16 billion from 2022 to 2027, Increase in demand from the textile industry to drive the market growth - Technavio",Sundyne International SA
13,Neutral," the contract includes a wide range of Sundyne API 610 pump models. the 7-stage BB3 model is the largest BB3 ever designed or manufactured by the company's spanish division. ""the Beast B3"" will be able to deliver flows in excess of 2,000 USGPM. the rest of the Sundyne centrifugal API pumps included in the order are scheduled to go online in the facility'",Sundyne Ships Largest BB3 Pump In Company History,Sundyne International SA
14,Neutral," steam power and cogeneration plant operators are rapidly replacing segmented ring pumps with Sunflo industrial grade pumps. the physical size of the boiler room limits the vertical distance between the deaerator and the boiler feed water pumps. vapor travels from the deaerator to the pump, causing cavitation, pump failures and power plant shutdowns. the impellers on Sunflo pumps feature unique suction inducer technology,",Sundyne Announces The Sunflo Industrial Grade Pumps For Boiler Feed Water Applications,Sundyne International SA
15,Neutral," former sonepar USA and sonepar SAS COO to be a senior advisor. he will work with warburg pincus to identify and evaluate new investment opportunities. he brings more than 40 years of strategic, operations and business growth experience.",David Gabriel Joins Warburg Pincus as Senior Advisor,Sundyne International SA
16,Neutral, Sundyne is a subsidiary of Hamilton Sundstrand Corporation. the company has a new manufacturing plant in china. the first order of Sundyne sealless magnetic drive pumps is scheduled to ship in late-july.,New Sundyne China Manufacturing Plant Begins Pump Product Shipments,Sundyne International SA
